2522,1,,,5,1,1437.21,P,10
60158,3,11691,D17Got73,5,17,576.8,F,15
41132,3,4255,D3Rat143,5,3,1485.5,P,15
26777,2,,,5,1,1521.1,P,14
17102,2,,,5,19,704.71,P,12
123134,2,,,5,5,1057.3,P,15
169769,2,,,5,7,1021.1,P,15
84240,2,,,5,3,85.71,P,13
232438,2,,,5,20,15.8,P,12
185306,2,,,5,1,1679.5,P,15
338314,2,,,5,9,46.9,P,15
120350,2,,,5,8,554,P,15
43873,3,6280,D5Got114,5,5,1114.6,P,13
45211,3,7420,D14Got72,5,14,771.1,F,15
43400,3,5881,D15Got96,5,1,1562.51,P,10
130201,2,,,5,14,453.97,P,9
24839,2,,,5,5,494.7,P,15
2583,1,,,5,8,268.3,P,15
40092,3,3735,D3Rat173,5,3,713.1,P,15
25436,2,,,5,6,793.5,P,15
326355,2,,,5,16,102.8,P,15
23810,2,,,5,13,628.1,P,15
191331,2,,,5,6,783.79,P,14
128926,2,,,5,7,195.4,P,15
60773,3,12306,D17Wox5,5,17,535.49,P,13
247644,2,,,5,1,844.7,P,15
92017,2,,,5,4,432.4,P,15
92753,2,,,5,3,782.7,P,15
35186,3,1281,D1Rat378,5,1,749.1,P,15
46784,2,,,5,1,1615.2,P,11
152256,2,,,5,13,359.8,P,15
110719,2,,,5,1,312.03,P,11
299886,2,,,5,X,96.7,P,15
42211,3,4773,D7Arb14,5,7,651.28,P,9
224648,2,,,5,18,368.5,P,15
221858,2,,,5,2,1377.9,P,15
629809,2,,,5,3,913.5,P,15
321601,2,,,5,2,678.29,P,11
31193,2,,,5,15,466.8,P,15
24413,2,,,5,18,662.3,P,15
42750,3,5283,D5Rat231,5,5,742.7,P,15
159989,2,,,5,1,786.99,P,12
13787,2,,,5,5,495.3,P,14
103284,2,,,5,4,1015.4,P,15
46028,2,,,5,13,726.5,P,14
35356,3,1366,D3Rat5,5,3,1356.4,P,15
45273,3,7472,D15Got111,5,15,419.8,P,15
36562,3,1969,D4Rat72,5,4,1107.6,F,15
36007,3,1692,D1Rat36,5,1,1009.6,P,15
13772,2,,,5,1,1060.8,P,15
335492,2,,,5,4,693.7,P,15
124289,2,,,5,6,15.8,P,15
44680,3,6972,D10Got21,5,10,102.1,P,15
319326,2,,,5,12,112.8,P,15
273781,2,,,5,5,806.5,P,13
60024,3,11557,D12Got62,5,12,454.6,P,15
87038,2,,,5,6,117.6,P,12
312900,2,,,5,8,453.6,P,15
103502,2,,,5,11,489.6,P,15
43667,3,6096,D3Got63,5,3,889.41,P,13
202439,2,,,5,4,285.9,P,15
192697,2,,,5,7,893.3,P,15
629930,2,,,5,9,228.6,P,15
164103,2,,,5,19,606,P,15
60094,3,11627,D15Got29,5,15,171.9,P,15
37816,3,2597,D2Rat145,5,2,564,F,15
192013,2,,,5,7,1065.7,P,15
34481,3,991,D5Mgh28,5,5,145.1,P,15
36556,3,1966,D9Rat10,5,9,647.6,P,15
130305,2,,,5,5,1159.9,P,15
